relation1,relation2,cosine_similarity,euclidean_distance,angle_degrees
above,below,0.095958106,4.3694787,84.49353279849421
over,under,0.12349733,4.276817,82.90601325965865
on top of,beneath,-0.016013918,4.6398606,90.91756916094718
higher than,lower than,-0.12840623,4.325744,97.37750394788429
elevated above,beneath,0.01628313,4.182672,89.06700412584573
in front of,behind,0.059497427,4.264293,86.5890340697238
ahead of,behind,0.11940091,4.0592804,83.14247127473547
before,behind,0.0128877815,4.2773747,89.26156407086643
inside,outside,0.14726141,4.0632496,81.53174549593179
within,outside,-0.07431296,4.5581636,94.26174779894079
enclosed in,outside,-0.065622844,4.1736207,93.7626158200443
close to,far from,0.099471256,3.9994988,84.29127612249846
near,distant from,-0.019215481,4.1940856,91.10103374673724
next to,far from,-0.03836145,4.611372,92.19848855317161
adjacent to,distant from,0.078550786,3.8669815,85.49473028319159
beside,away from,-0.014866216,4.579557,90.85180281765345
